"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,0.91,,0.34,6.714,,,,,S,
Y,1.572,,0.342,59.263,,,,,,
Y,2.716,,0.199,2.7209,,,,,,
Y,3.687,,0.123,5.313,,,,,Sq,
Y,2.793,,0.206,11.23,,,,,,
Y,0.524,,0.444,6.334,,,,,S:,
Y,1.098,,0.640,6.9809,,,,,,
Y,0.866,,0.123,,,,,,,
Y,0.33,0.535x0.294x0.209,,12.132,2.1e-9,,,,S(IV),
Y,3.21,,0.052,4.919,,,,,B,
Y,5.683,,0.177,4.6021,,,,,,
Y,5.400,,0.042,5.3,,,,,,
Y,1.172,,0.027,,,,,,,
Y,1.802,,0.256,0.068,,,,,,
Y,2.000,,0.070,2.1216,,,,,,
Y,0.432,,0.654,3.697,,,,,,
Y,0.929,,0.408,2.6236,,,,,Sk,
Y,0.704,,0.772,3.259,,,,,Xk,
Y,2.339,,0.089,5.613,,,,,Ld,
Y,0.643,,0.469,,,,,,,
Y,2.517,,0.092,,,,,,,
Y,1.554,,0.184,,,,,,,
Y,2.131,,0.205,223.5,,,,,,
Y,0.954,,0.177,28,,,,,,
Y,1.641,,0.214,4.9567,,,,,Sq,
Y,0.204,,0.267,,,,,,,
Y,0.844,,0.227,,,,,,X,
Y,0.890,,0.171,26,,,,,,
Y,1.059,,0.471,26.43,,,,,,
Y,1.0,,,14.28,,,,,,
Y,6.742,,0.051,12.08,,,,,,
Y,1.75,,,4.112,,,,,,
Y,7.,,,136,,,,,X:,
Y,1.233,,0.266,9.5819,,,,,,
Y,0.843,,0.222,43,,,,,,
Y,1.189,,0.181,19.03,,,,,,
Y,1.349,,0.244,9.958,,,,,S,
Y,1.567,,0.856,37.57,,,,,,
Y,0.461,,0.342,,,,,,,
Y,1.306,,0.376,46.08,,,,,Sk,
Y,0.918,,0.033,7.746,,,,,B,
Y,0.78,,,2.2593,,,,,Xk,
Y,1.484,,0.319,7.09,,,,,,
Y,2.864,,0.224,2.375,,,,,,
Y,1.222,,0.187,2.4621,,,,,,
Y,0.808,,0.400,502.,,,,,,
Y,1.317,"1.532 x 1.495 x 1.347",,2.7645,,,,,S:,
Y,0.411,,0.182,,,,,,,
Y,2.301,,0.211,2.1102,,,,,,
Y,0.994,,0.449,2.429,,,,,,
Y,0.875,,0.401,3.5,,,,,,
Y,0.942,,0.087,4.23,,,,,,
Y,0.736,,0.291,4.987,,,,,,
Y,3.512,,0.299,3.3313,,,,,,
Y,1.794,,0.219,3.21082,,,,,,
Y,1.182,,0.289,,,,,,,
Y,1.650,,0.178,45.24,,,,,,
Y,1.1,,0.242,,,,,,,
Y,2.506,,0.093,2.6967,,,,,,
Y,0.775,,0.461,2.8228,,,,,,
Y,2.230,,0.141,3.573,,,,,,
Y,3.484,,0.076,5.37,,,,,,
Y,0.939,,0.042,55.,,,,,C,
Y,2.272,,0.167,3.0089,,,,,,
Y,2.028,,0.168,19.451,,,,,S,
Y,1.140,,0.405,2.45,,,,,,
Y,0.59,,0.32,28.08,,,,,S,
Y,1.462,,0.056,7.6638,,,,,K,
Y,0.451,,0.095,6.538,,,,,Xk,
Y,2.22,,0.14,34.49,,,,,Q,
