"neo","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
Y,0.948,,0.037,,,,,,,
Y,0.495,,0.261,13.248,,,,,,
Y,2.959,,0.020,,,,,,,
Y,0.167,,0.110,0.4831,,,,,,
Y,0.548,,0.054,,,,,,,
Y,0.599,,0.056,,,,,,,
Y,1.082,,0.121,30.33,,,,,,
Y,0.537,,0.386,,,,,,,
Y,0.685,,0.137,,,,,,,
Y,1.625,,0.042,,,,,,,
Y,1.242,,0.035,,,,,,,
Y,0.308,,0.242,,,,,,,
Y,1.958,,0.031,,,,,,,
Y,0.304,,0.230,,,,,,,
Y,1.102,,0.159,,,,,,,
Y,0.269,,0.322,,,,,,,
Y,1.847,,0.052,,,,,,,
Y,0.227,,0.197,6.0555,,,,,,
Y,0.579,,0.028,,,,,,,
Y,0.868,,0.085,,,,,,,
Y,0.726,,0.160,45.4,,,,,,
Y,1.109,,0.028,10.758,,,,,,
Y,0.384,,0.190,,,,,,,
Y,2.073,,0.097,,,,,,,
Y,2.490,,0.034,86.2,,,,,,
Y,0.150,,0.285,,,,,,,
Y,0.470,,0.026,,,,,,,
Y,0.874,,0.146,,,,,,,
Y,0.493,,0.139,,,,,,,
Y,0.197,,0.072,,,,,,,
Y,0.308,,0.108,,,,,,,
Y,0.143,,0.136,,,,,,,
Y,0.758,,0.028,,,,,,,
Y,0.297,,0.087,4.11,,,,,,
Y,0.244,,0.271,,,,,,,
Y,1.451,,0.044,4.828,,,,,,
Y,0.358,,0.368,,,,,,,
Y,1.488,,0.060,,,,,,,
Y,0.164,,0.094,,,,,,,
Y,0.389,,0.353,,,,,,,
Y,0.433,,0.065,,,,,,,
Y,0.652,,0.017,,,,,,,
Y,0.739,,0.250,,,,,,,
Y,0.321,,0.327,,,,,,,
Y,0.991,,0.054,,,,,,,
Y,0.692,,0.093,,,,,,,
Y,0.326,,0.201,15.04,,,,,,
Y,0.537,,0.056,6.74,,,,,,
Y,0.216,,0.378,,,,,,,
Y,0.413,,0.180,,,,,,,
Y,1.855,,0.022,,,,,,,
Y,0.383,,0.209,,,,,,,
Y,0.202,,0.433,26.39,,,,,,
Y,0.452,,0.125,3.6342,,,,,,
Y,0.356,,0.055,,,,,,,
Y,0.766,,0.100,,,,,,,
Y,1.039,,0.038,,,,,,,
Y,0.209,,0.283,,,,,,,
Y,1.520,,0.019,,,,,,,
Y,0.237,,0.314,19.304,,,,,,
Y,1.084,,0.024,,,,,,,
Y,0.342,,0.548,,,,,,,
Y,0.657,,0.179,128,,,,,,
Y,0.3,,,6.98,,,,,,
Y,0.4,,,14.533,,,,,,
Y,0.337,,0.062,,,,,,,
Y,0.175,,0.439,,,,,,,
Y,0.589,,0.268,6.21,,,,,,
Y,1.531,,0.023,,,,,,,
Y,1.202,,0.031,,,,,,,
Y,0.357,,0.220,,,,,,,
Y,0.461,,0.044,,,,,,,
Y,2.177,,0.049,,,,,,,
Y,0.260,,0.376,18.25,,,,,,
Y,0.380,,0.032,,,,,,,
Y,0.615,,0.092,,,,,,,
Y,1.492,,0.035,,,,,,,
Y,0.556,,0.052,,,,,,,
Y,0.971,,0.068,8.71,,,,,,
Y,0.820,,0.182,18.83,,,,,,
Y,0.665,,0.110,,,,,,,
Y,0.099,,0.287,,,,,,,
Y,0.200,,0.094,,,,,,,
Y,0.451,,0.316,,,,,,,
Y,1.284,,0.020,,,,,,,
Y,1.647,,0.028,,,,,,,
Y,1.195,,0.037,,,,,,,
Y,0.315,,0.093,5.6713,,,,,,
Y,0.194,,0.358,6.57,,,,,,
Y,0.746,,0.105,,,,,,,
Y,1.451,,0.111,4.229,,,,,,
Y,5.272,,0.037,,,,,,,
Y,0.741,,0.154,,,,,,,
Y,0.351,,0.273,,,,,,,
Y,0.463,,0.144,,,,,,,
Y,1.824,,0.040,,,,,,,
Y,0.794,,0.034,4.62,,,,,,
Y,0.083,,0.448,,,,,,,
Y,0.704,,0.032,,,,,,,
Y,1.851,,0.047,,,,,,,
Y,0.658,,0.195,,,,,,,
Y,0.564,,0.167,4.1321,,,,,,
Y,0.309,,0.042,,,,,,,
Y,0.550,,0.086,,,,,,,
Y,0.602,,0.059,,,,,,,
Y,0.346,,0.536,12.63,,,,,,
Y,0.873,,0.077,,,,,,,
Y,0.279,,0.569,3.277,,,,,,
Y,0.851,,0.141,,,,,,,
Y,0.3,,,20,,,,,,
Y,1.778,,0.047,9.443,,,,,,
Y,1.770,,0.129,,,,,,,
Y,0.361,,0.037,,,,,,,
Y,0.363,,0.178,,,,,,,
Y,0.259,,0.095,,,,,,,
Y,0.280,,0.187,10.1873,,,,,,
Y,1.434,,,,,,,,,
Y,0.413,,0.197,,,,,,,
Y,0.310,,0.266,23.86,,,,,,
Y,0.701,,0.249,,,,,,,
Y,0.691,,0.123,,,,,,,
Y,0.861,,0.114,,,,,,,
Y,0.312,,0.214,,,,,,,
Y,0.654,,0.079,,,,,,,
Y,0.208,,0.024,,,,,,,
Y,0.03,,,0.1784,,,,,,
Y,0.383,,0.058,,,,,,,
Y,0.150,,0.151,0.313,,,,,,
Y,0.811,,0.020,,,,,,,
Y,0.316,,0.026,,,,,,,
Y,0.955,,0.026,,,,,,,
Y,0.477,,0.135,,,,,,,
Y,0.149,,0.095,4.909,,,,,,
Y,0.34,,0.177,,,,,,C:,
Y,0.175,,0.048,,,,,,,
Y,0.152,,0.100,,,,,,,
Y,0.84,,0.023,2.7,,,,,X,
Y,0.16,,0.32,,,,,,Sr,
Y,0.13,,0.126,51.7,,,,,,
Y,0.028,,0.441,,,,,,,
Y,1.129,,0.032,,,,,,,
Y,1.507,,0.026,,,,,,,
Y,0.856,,0.022,,,,,,,
Y,0.962,,0.110,,,,,,,
Y,1.258,,0.021,,,,,,,
Y,0.291,,0.017,,,,,,,
Y,1.316,,0.018,,,,,,,
Y,0.240,,0.034,,,,,,,
Y,1.201,,0.034,5.6,,,,,,
Y,1.847,,0.017,,,,,,,
Y,0.307,,0.246,,,,,,,
Y,0.965,,0.056,,,,,,,
Y,1.415,,0.017,,,,,,,
Y,0.365,,0.159,,,,,,,
Y,0.887,,0.027,,,,,,,
Y,0.260,,0.072,,,,,,,
Y,0.848,,,,,,,,,
Y,0.922,,0.048,,,,,,,
Y,0.505,,0.065,,,,,,,
Y,0.687,,0.031,,,,,,,
Y,0.532,,0.090,,,,,,,
Y,0.322,,0.355,,,,,,,
Y,0.193,,0.023,,,,,,,
Y,0.453,,0.094,46.65,,,,,,
Y,0.516,,0.029,5.2,,,,,,
Y,0.407,,0.203,,,,,,,
Y,0.382,,0.111,0.0963683,,,,,,
Y,0.129,,0.421,,,,,,,
Y,0.485,,0.119,,,,,,,
Y,0.280,,0.225,,,,,,,
Y,0.615,,0.035,,,,,,,
Y,0.105,,0.063,,,,,,,
Y,0.164,,0.217,,,,,,,
Y,0.731,,0.040,,,,,,,
Y,0.615,,0.154,,,,,,,
Y,0.123,,0.155,,,,,,,
Y,0.050,,0.259,,,,,,,
Y,0.111,,0.120,,,,,,,
Y,0.089,,0.319,,,,,,,
Y,1.671,,0.030,,,,,,,
Y,0.892,,0.018,,,,,,,
Y,0.080,,0.433,,,,,,,
Y,0.363,,0.213,,,,,,,
Y,0.118,,0.205,,,,,,,
Y,1.168,,0.057,,,,,,,
Y,0.084,,0.063,,,,,,,
Y,0.394,,0.286,,,,,,,
Y,0.104,,0.196,,,,,,,
Y,0.340,,0.185,,,,,,,
Y,0.034,,0.218,,,,,,,
Y,0.352,,,,,,,,,
Y,0.198,,0.037,,,,,,,
Y,0.242,,0.033,,,,,,,
Y,0.083,,0.145,,,,,,,
Y,0.176,,0.119,,,,,,,
Y,0.556,,0.110,,,,,,,
Y,0.254,,0.030,,,,,,,
Y,0.134,,0.358,,,,,,,
Y,0.019,,0.080,,,,,,,
Y,0.149,,0.176,,,,,,,
Y,0.167,,0.146,,,,,,,
Y,0.303,,0.133,,,,,,,
Y,0.283,,0.152,,,,,,,
Y,0.774,,0.022,,,,,,,
Y,0.315,,,,,,,,,
Y,0.520,,0.009,,,,,,,
Y,0.277,,,,,,,,,
Y,0.040,,0.234,9.4,,,,,,
Y,0.090,,0.038,,,,,,,
Y,0.051,,0.434,,,,,,,
Y,0.233,,0.068,,,,,,,
Y,0.066,,,,,,,,,
Y,0.093,,0.051,,,,,,,
Y,0.087,,0.071,,,,,,,
Y,0.285,,0.204,,,,,,,
Y,0.023,,0.548,,,,,,,
Y,0.018,,0.294,,,,,,,
Y,0.008,,0.497,,,,,,,
Y,0.075,,0.448,,,,,,,
Y,0.045,,0.288,,,,,,,
Y,0.015,,0.287,,,,,,,
Y,0.024,,0.075,,,,,,,
Y,0.030,,0.425,,,,,,,
Y,0.095,,0.407,,,,,,,
Y,0.676,,0.022,,,,,,,
Y,0.451,,0.118,,,,,,,
Y,0.867,,0.018,,,,,,,
Y,0.097,,0.224,,,,,,,
Y,0.319,,0.048,,,,,,,
Y,0.402,,0.021,0.3263,,,,,,
Y,0.105,,0.058,,,,,,,
Y,0.416,,0.049,,,,,,,
Y,0.268,,0.277,,,,,,,
Y,0.071,,0.281,,,,,,,
Y,0.134,,0.142,,,,,,,
Y,0.116,,0.300,,,,,,,
Y,0.252,,0.147,,,,,,,
Y,0.151,,0.256,,,,,,,
Y,0.008,,0.326,,,,,,,
Y,0.203,,0.107,,,,,,,
Y,0.216,,0.326,,,,,,,
Y,0.510,,0.025,4.326,,,,,,
Y,0.277,,0.303,,,,,,,
Y,0.092,,0.159,,,,,,,
Y,0.060,,0.334,,,,,,,
Y,1.127,,0.018,,,,,,,
Y,0.313,,0.377,,,,,,,
Y,0.285,,0.378,,,,,,,
Y,0.493,,0.241,,,,,,,
Y,0.251,,0.034,,,,,,,
Y,0.372,,0.106,,,,,,,
Y,0.277,,0.334,,,,,,,
Y,2.055,,0.018,,,,,,,
Y,0.032,,0.482,,,,,,,
Y,0.128,,0.328,,,,,,,
Y,0.465,,0.016,,,,,,,
Y,0.563,,0.267,,,,,,,
Y,0.352,,0.039,,,,,,,
Y,0.140,,0.090,,,,,,,
Y,0.064,,0.187,,,,,,,
Y,0.406,,0.090,,,,,,,
Y,0.192,,0.209,,,,,,,
Y,0.039,,0.087,,,,,,,
Y,0.032,,0.609,,,,,,,
Y,0.208,,0.148,,,,,,,
Y,0.286,,0.086,,,,,,,
Y,0.226,,0.165,2.7824,,,,,,
Y,0.309,,0.107,,,,,,,
Y,0.039,,0.187,,,,,,,
Y,0.359,,0.073,,,,,,,
Y,0.214,,0.106,,,,,,,
Y,0.037,,0.349,0.4561,,,,,,
Y,0.945,,0.041,,,,,,,
Y,0.408,,0.202,,,,,,,
Y,0.428,,0.127,,,,,,,
Y,0.543,,0.086,,,,,,,
Y,0.645,,0.029,,,,,,,
Y,0.102,,0.224,,,,,,,
Y,0.013,,0.397,,,,,,,
Y,0.183,,0.147,,,,,,,
Y,0.087,,0.101,,,,,,,
Y,0.685,,0.029,,,,,,,
Y,0.417,,0.065,,,,,,,
Y,0.501,,0.034,,,,,,,
Y,0.213,,0.118,,,,,,,
Y,0.101,,0.274,,,,,,,
Y,0.872,,0.040,,,,,,,
Y,0.108,,0.271,,,,,,,
Y,0.192,,0.208,,,,,,,
Y,0.191,,0.084,,,,,,,
Y,0.877,,0.021,,,,,,,
Y,0.088,,0.477,,,,,,,
Y,0.940,,0.015,,,,,,,
Y,0.193,,0.039,,,,,,,
Y,0.236,,0.032,,,,,,,
Y,0.153,,0.063,,,,,,,
Y,1.629,,0.020,,,,,,,
Y,0.825,,0.026,,,,,,,
Y,0.234,,0.029,,,,,,,
Y,0.317,,0.443,,,,,,,
Y,0.053,,0.301,,,,,,,
Y,0.104,,0.518,,,,,,,
Y,0.043,,0.265,,,,,,,
Y,1.947,,0.015,,,,,,,
Y,0.599,,0.028,,,,,,,
Y,0.372,,,,,,,,,
Y,0.808,,,,,,,,,
Y,0.903,,,,,,,,,
Y,0.320,,0.109,,,,,,,
Y,0.229,,0.142,,,,,,,
Y,0.219,,0.040,,,,,,,
Y,0.286,,0.072,,,,,,,
Y,0.210,,0.303,,,,,,,
Y,0.344,,0.342,,,,,,,
Y,0.663,,,,,,,,,
Y,1.188,,0.025,,,,,,,
Y,0.539,,0.153,,,,,,,
Y,0.174,,0.176,,,,,,,
Y,0.308,,0.246,,,,,,,
Y,0.148,,0.384,,,,,,,
Y,0.198,,0.217,,,,,,,
Y,0.303,,0.231,,,,,,,
Y,0.195,,0.321,,,,,,,
Y,0.238,,0.225,,,,,,,
Y,0.218,,0.103,,,,,,,
Y,0.854,,0.013,,,,,,,
Y,0.143,,0.138,,,,,,,
Y,0.180,,0.079,,,,,,,
Y,0.758,,0.102,,,,,,,
Y,2.156,,0.050,,,,,,,
Y,0.038,,0.228,,,,,,,
Y,0.350,,0.014,,,,,,,
Y,0.018,,0.062,,,,,,,
Y,0.379,,0.059,,,,,,,
Y,0.603,,0.025,,,,,,,
Y,0.712,,0.030,,,,,,,
Y,0.043,,0.129,,,,,,,
Y,1.122,,0.020,,,,,,,
Y,0.380,,0.194,,,,,,,
Y,0.152,,0.189,,,,,,,
Y,0.237,,,,,,,,,
Y,0.124,,0.290,,,,,,,
Y,0.055,,0.196,0.0299522,,,,,,
Y,0.057,,0.126,,,,,,,
Y,0.608,,0.052,,,,,,,
Y,0.273,,0.065,,,,,,,
Y,0.453,,0.180,,,,,,,
Y,0.026,,0.060,,,,,,,
Y,0.227,,0.029,,,,,,,
Y,0.755,,0.031,,,,,,,
Y,0.511,,0.043,,,,,,,
Y,0.063,,0.176,,,,,,,
Y,0.195,,0.042,,,,,,,
Y,0.994,,0.013,,,,,,,
Y,0.852,,0.056,,,,,,,
Y,0.617,,0.158,,,,,,,
Y,3.079,,0.012,,,,,,,
Y,0.424,,0.225,,,,,,,
Y,0.231,,0.208,,,,,,,
Y,1.252,,0.012,12.87,,,,,,
Y,0.629,,0.023,,,,,,,
Y,0.0025,,,0.043333,,,,,,
Y,0.653,,0.079,2.8849,,,,,,
Y,0.286,,0.086,,,,,,,
Y,0.185,,0.391,,,,,,,
Y,0.402,,0.025,,,,,,,
Y,0.343,,0.060,,,,,,,
Y,0.200,,0.037,,,,,,,
Y,0.787,,0.054,,,,,,,
Y,0.585,,0.047,,,,,,,
Y,0.222,,0.225,,,,,,,
Y,0.698,,0.044,,,,,,,
Y,0.110,,0.253,,,,,,,
Y,0.141,,0.187,13.85,,,,,,
Y,0.257,,0.061,,,,,,,
Y,0.675,,0.035,,,,,,,
Y,0.360,,0.010,,,,,,,
Y,0.116,,0.094,6.35,,,,,,
Y,0.574,,0.019,,,,,,,
Y,0.398,,0.034,,,,,,,
Y,0.889,,0.020,,,,,,,
Y,0.372,,0.042,,,,,,,
Y,0.453,,0.260,5.96,,,,,,
Y,0.379,,0.023,,,,,,,
Y,0.461,,0.301,,,,,,,
Y,0.022,,0.223,,,,,,,
Y,0.377,,0.094,,,,,,,
Y,0.561,,0.061,,,,,,,
Y,0.975,,0.022,,,,,,,
Y,0.325,,0.291,16,,,,,,
Y,0.597,,0.018,,,,,,,
Y,0.253,,0.364,,,,,,,
Y,0.228,,0.021,,,,,,,
Y,0.321,,0.156,,,,,,,
Y,4.613,,0.019,,,,,,,
Y,0.273,,0.124,,,,,,,
Y,0.166,,0.018,,,,,,,
Y,0.644,,0.032,,,,,,,
Y,1.724,,0.031,,,,,,,
Y,0.938,,0.020,,,,,,,
Y,2.082,,0.016,,,,,,,
Y,0.113,,0.116,,,,,,,
Y,0.069,,0.015,,,,,,,
Y,0.233,,0.296,,,,,,,
Y,0.502,,0.021,,,,,,,
Y,0.501,,0.044,,,,,,,
Y,0.330,,0.015,,,,,,,
Y,0.598,,0.113,,,,,,,
Y,0.732,,0.013,,,,,,,
Y,0.206,,0.263,,,,,,,
Y,0.412,,0.045,,,,,,,
Y,0.562,,0.039,,,,,,,
Y,3.330,,0.010,,,,,,,
Y,0.041,,0.046,,,,,,,
Y,2.009,,0.091,,,,,,,
Y,1.784,,0.027,,,,,,,
Y,0.296,,0.461,78.4,,,,,,
Y,0.088,,0.092,,,,,,,
Y,0.694,,0.254,5.206,,,,,,
Y,0.172,,0.137,,,,,,,
Y,0.174,,0.112,,,,,,,
Y,0.554,,0.030,,,,,,,
Y,0.469,,0.073,,,,,,,
Y,0.519,,0.020,,,,,,,
Y,0.556,,0.186,,,,,,,
Y,0.421,,0.025,,,,,,,
Y,1.387,,0.028,6.83,,,,,,
Y,0.404,,0.039,,,,,,,
Y,0.085,,0.201,0.0385,,,,,,
Y,0.242,,0.091,,,,,,,
Y,0.122,,0.099,,,,,,,
Y,0.198,,0.527,,,,,,,
Y,2.923,,0.019,,,,,,,
Y,0.297,,0.126,3.361,,,,,,
Y,0.486,,0.021,,,,,,,
Y,0.651,,0.024,,,,,,,
Y,1.198,,0.015,,,,,,,
Y,1.349,,0.079,,,,,,,
Y,2.443,,0.014,,,,,,,
Y,0.355,,0.081,,,,,,,
Y,0.299,,0.072,,,,,,,
Y,1.757,,0.016,,,,,,,
Y,0.129,,0.505,,,,,,,
Y,0.370,,0.204,,,,,,,
Y,0.986,,0.020,,,,,,,
Y,0.374,,0.042,,,,,,,
Y,0.358,,0.026,,,,,,,
Y,0.146,,0.132,,,,,,,
Y,0.349,,0.017,,,,,,,
Y,0.184,,0.533,12.2,,,,,,
Y,0.384,,0.144,,,,,,,
Y,0.437,,0.070,,,,,,,
Y,0.468,,0.039,,,,,,,
Y,0.679,,0.048,,,,,,,
Y,0.435,,0.045,,,,,,,
Y,0.349,,0.023,,,,,,,
Y,0.535,,0.074,18.2,,,,,,
Y,0.313,,0.086,,,,,,,
Y,0.294,,0.170,9.42,,,,,,
Y,0.232,,0.131,28.43,,,,,,
Y,0.066,,0.531,,,,,,,
Y,0.636,,0.076,,,,,,,
Y,0.544,,0.018,,,,,,,
Y,0.064,,0.173,,,,,,,
Y,0.944,,0.261,,,,,,,
Y,1.248,,0.094,,,,,,,
Y,0.753,,0.034,,,,,,,
Y,0.262,,0.149,,,,,,,
Y,0.143,,0.180,,,,,,,
Y,0.660,,0.023,,,,,,,
Y,0.108,,0.125,,,,,,,
Y,1.115,,0.025,,,,,,,
Y,0.108,,0.050,,,,,,,
Y,0.078,,0.079,,,,,,,
Y,0.382,,0.048,,,,,,,
Y,0.170,,0.203,,,,,,,
Y,0.342,,0.095,,,,,,,
Y,0.582,,0.052,,,,,,,
Y,1.288,,0.024,,,,,,,
Y,0.374,,0.139,,,,,,,
Y,0.066,,0.594,,,,,,,
Y,0.306,,0.043,18.55,,,,,,
Y,0.394,,0.137,,,,,,,
Y,0.360,,0.012,,,,,,,
Y,0.258,,0.152,3.42,,,,,,
Y,0.091,,0.338,6.91,,,,,,
Y,1.184,,0.013,,,,,,,
Y,1.417,,0.020,,,,,,,
Y,1.266,,0.019,,,,,,,
Y,0.620,,0.088,,,,,,,
Y,0.075,,0.041,,,,,,,
Y,0.585,,0.187,,,,,,,
Y,0.328,,0.125,,,,,,,
Y,0.439,,0.568,,,,,,,
Y,0.132,,0.031,,,,,,,
Y,0.267,,0.189,,,,,,,
Y,0.474,,0.137,,,,,,,
Y,0.343,,0.198,,,,,,,
Y,0.398,,0.147,,,,,,,
Y,0.256,,0.030,,,,,,,
Y,0.156,,0.073,1.68,,,,,,
Y,0.252,,0.070,,,,,,,
Y,0.233,,0.030,,,,,,,
Y,0.076,,0.540,,,,,,,
Y,0.332,,0.176,,,,,,,
Y,0.213,,0.353,,,,,,,
Y,0.139,,0.368,,,,,,,
Y,0.072,,0.103,,,,,,,
Y,0.049,,0.519,,,,,,,
Y,0.047,,0.022,,,,,,,
Y,0.157,,0.024,,,,,,,
Y,0.480,,0.047,,,,,,,
Y,0.882,,0.033,,,,,,,
Y,1.403,,0.023,,,,,,,
Y,0.392,,0.022,,,,,,,
Y,0.048,,0.100,,,,,,,
Y,0.201,,0.399,,,,,,,
Y,0.350,,0.145,,,,,,,
Y,0.492,,0.563,,,,,,,
Y,0.470,,0.183,,,,,,,
Y,0.060,,0.040,,,,,,,
Y,0.335,,0.030,,,,,,,
Y,0.936,,0.032,,,,,,,
Y,0.046,,0.037,,,,,,,
Y,0.186,,0.128,,,,,,,
Y,0.110,,0.230,,,,,,,
Y,0.359,,0.137,,,,,,,
Y,0.086,,0.020,,,,,,,
Y,0.543,,0.011,,,,,,,
Y,0.422,,0.047,,,,,,,
Y,0.215,,0.138,16.897,,,,,,
Y,0.271,,0.200,,,,,,,
Y,0.338,,0.155,,,,,,,
Y,0.374,,0.138,,,,,,,
Y,0.077,,0.109,0.0085,,,,,,
Y,1.374,,0.031,,,,,,,
Y,0.432,,0.025,,,,,,,
Y,1.008,,0.033,,,,,,,
Y,0.196,,0.201,28.5,,,,,,
Y,0.285,,0.072,,,,,,,
Y,0.199,,0.195,16.67,,,,,,
Y,1.214,,0.052,,,,,,,
Y,0.080,,0.113,,,,,,,
Y,0.208,,0.123,,,,,,,
Y,0.459,,0.019,,,,,,,
Y,0.070,,0.037,,,,,,,
Y,0.123,,0.320,,,,,,,
Y,0.606,,0.252,,,,,,,
Y,0.094,,0.347,,,,,,,
Y,0.228,,0.103,,,,,,,
Y,0.034,,0.532,,,,,,,
Y,0.066,,0.065,,,,,,,
Y,0.106,,0.043,,,,,,,
Y,0.268,,0.022,,,,,,,
Y,1.990,,0.031,,,,,,,
Y,0.231,,0.121,,,,,,,
Y,0.205,,0.125,19.8,,,,,,
Y,0.202,,0.248,,,,,,,
Y,0.183,,0.048,,,,,,,
Y,0.186,,0.081,,,,,,,
Y,0.366,,0.063,,,,,,,
Y,0.686,,0.041,,,,,,,
Y,1.317,,0.037,,,,,,,
Y,0.422,,0.017,,,,,,,
Y,1.177,,0.024,,,,,,,
Y,0.371,,0.029,,,,,,,
Y,0.192,,0.145,2.279,,,,,,
Y,0.661,,0.059,,,,,,,
Y,0.031,,0.123,,,,,,,
Y,0.174,,0.304,,,,,,,
Y,0.910,,0.015,,,,,,,
Y,0.160,,0.083,,,,,,,
Y,0.328,,0.034,,,,,,,
Y,0.517,,0.050,,,,,,,
Y,0.060,,0.526,,,,,,,
Y,0.204,,0.046,,,,,,,
Y,0.430,,0.289,,,,,,,
Y,0.845,,0.030,,,,,,,
Y,0.085,,0.269,,,,,,,
Y,0.681,,0.289,,,,,,,
Y,0.237,,0.314,,,,,,,
Y,0.864,,0.045,5.6799,,,,,,
Y,0.468,,0.069,,,,,,,
Y,0.160,,0.495,5.455,,,,,,
Y,0.647,,0.024,,,,,,,
Y,0.479,,0.077,,,,,,,
Y,1.349,,0.029,16.17,,,,,,
Y,0.196,,0.153,,,,,,,
Y,0.310,,0.020,,,,,,,
Y,0.661,,0.093,,,,,,,
Y,1.862,,0.011,,,,,,,
Y,0.250,,0.257,,,,,,,
Y,0.066,,0.214,,,,,,,
Y,0.081,,0.032,,,,,,,
Y,1.246,,0.032,,,,,,,
Y,2.730,,0.024,,,,,,,
Y,0.278,,0.131,,,,,,,
Y,1.391,,0.014,,,,,,,
Y,0.820,,0.046,,,,,,,
Y,0.018,,0.459,,,,,,,
Y,0.063,,0.178,,,,,,,
Y,0.188,,0.314,,,,,,,
Y,0.050,,0.491,,,,,,,
Y,0.008,,0.467,,,,,,,
Y,0.281,,0.088,,,,,,,
Y,0.143,,0.197,,,,,,,
Y,0.049,,0.568,,,,,,,
Y,0.128,,0.156,,,,,,,
Y,0.525,,0.031,,,,,,,
Y,0.194,,0.036,,,,,,,
Y,0.917,,0.016,,,,,,,
Y,1.082,,0.013,,,,,,,
Y,0.144,,0.010,,,,,,,
Y,0.065,,0.238,,,,,,,
Y,0.734,,0.019,,,,,,,
Y,0.289,,0.176,2.49,,,,,,
Y,11.0,14.9x8.2,0.04,,,,,,,
Y,4.8,,0.046,11.083,,,,,,
Y,5.2,,,,,,,,,
Y,4.5,,,,,,,,,
Y,2.0,,,,,,,,,
Y,2.6,,,,,,,,,
Y,2.6,,,,,,,,,
Y,1.4,,,,,,,,,
Y,1.6,,,,,,,,,
Y,1.2,,,,,,,,,
Y,3.6,,0.06,,,,,,,
Y,3.4,,,12.76129,662.2e-9,,,,,
Y,2.8,,,,,,,,,
Y,6.4,,,,,,,,,
Y,1.6,,,18.1,,,,,,
Y,2.0,,,,,,,,,
Y,26,,,,,,,,,
Y,11.6,,,,,,,,,
Y,13.6,,0.054,57.12,,,,,,
